DATE,SYM_ROOT,symbol,total_vol_m,BuyVol_Retail,BuyVol_Inst20k,SellVol_Inst20k
2015-01-02,AAPL,AAPL,52411487,4167688,14776686,14651623
2015-01-05,AAPL,AAPL,60623341,4274373,14623989,15395084
2015-01-06,AAPL,AAPL,64647418,4865453,18057675,18769255
2015-01-07,AAPL,AAPL,38953971,3198221,11203980,9840865
2015-01-08,AAPL,AAPL,56123629,4371794,17023435,14267587
2015-01-09,AAPL,AAPL,52643290,4309228,15399642,14106245
2015-01-12,AAPL,AAPL,49625081,4092099,14281950,13746359
2015-01-13,AAPL,AAPL,65404957,4813008,18656936,17678074
2015-01-14,AAPL,AAPL,47159236,3772732,12200946,12351085
2015-01-15,AAPL,AAPL,57382646,4756214,15343428,17694890
2015-01-16,AAPL,AAPL,76098872,4181027,27579062,19907754
2015-01-20,AAPL,AAPL,45794792,3334079,12793154,11122000
2015-01-21,AAPL,AAPL,47212800,3338791,14137449,12507274
2015-01-22,AAPL,AAPL,47794820,3405272,12919079,12125678
2015-01-23,AAPL,AAPL,43229376,3008406,13790315,11843488
2015-01-26,AAPL,AAPL,50979578,4253296,15244554,13230696
2015-01-27,AAPL,AAPL,75268388,7822073,22176918,21794165
2015-01-28,AAPL,AAPL,136491536,7739219,38918820,44432838
2015-01-29,AAPL,AAPL,82477751,5737375,26744673,21908137
2015-01-30,AAPL,AAPL,79723948,5477853,23408078,23688940
2015-02-02,AAPL,AAPL,60359833,5653500,18202297,18147554
2015-02-03,AAPL,AAPL,49985136,3939237,14381665,14228106
2015-02-04,AAPL,AAPL,68888821,5393839,25754056,19573305
2015-02-05,AAPL,AAPL,40706661,2929728,12853774,12568200
2015-02-06,AAPL,AAPL,42644358,3274295,12357820,12806121
2015-02-09,AAPL,AAPL,37220616,2900658,10735699,11026902
2015-02-10,AAPL,AAPL,59000012,4124697,17370717,17023546
2015-02-11,AAPL,AAPL,71331836,5211153,23766288,20530027
2015-02-12,AAPL,AAPL,71691472,6123016,21536199,20587604
2015-02-13,AAPL,AAPL,50544277,4092545,15858341,14697977
2015-02-17,AAPL,AAPL,60179484,6014463,19321836,19084894
2015-02-18,AAPL,AAPL,43383013,3496121,13599990,11984068
2015-02-19,AAPL,AAPL,36437776,3218407,10369182,11544133
2015-02-20,AAPL,AAPL,47231183,3446306,16615230,12431684
2015-02-23,AAPL,AAPL,67676645,5809275,21906419,20679585
2015-02-24,AAPL,AAPL,67017660,6464017,21569408,20715040
2015-02-25,AAPL,AAPL,73100828,6020463,21440144,24111489
2015-02-26,AAPL,AAPL,87119861,7439759,28612541,27593119
2015-02-27,AAPL,AAPL,58670540,4213177,15528495,17386949
2015-03-02,AAPL,AAPL,46053803,4319806,14155530,13773879
2015-03-03,AAPL,AAPL,36828106,3423566,11289600,11257254
2015-03-04,AAPL,AAPL,29565865,2320015,8127619,9134894
2015-03-05,AAPL,AAPL,55387543,5938357,16298431,17432839
2015-03-06,AAPL,AAPL,68309837,6494352,20546524,20174793
2015-03-09,AAPL,AAPL,86848991,7578250,26161570,26630863
2015-03-10,AAPL,AAPL,64567370,5147672,17269226,19740721
2015-03-11,AAPL,AAPL,67442928,5703667,19895684,20356329
2015-03-12,AAPL,AAPL,46800437,4220317,13881733,12850672
2015-03-13,AAPL,AAPL,50594741,4318193,14339469,14913696
2015-03-16,AAPL,AAPL,34674015,2530189,10063768,8054202
2015-03-17,AAPL,AAPL,49546032,4758773,15484822,14045404
2015-03-18,AAPL,AAPL,63443121,4619281,16563304,15266473
2015-03-19,AAPL,AAPL,44918774,3877735,12453822,13176217
2015-03-20,AAPL,AAPL,61615301,2729621,11789056,22322008
2015-03-23,AAPL,AAPL,35174011,2704724,9832678,9677621
2015-03-24,AAPL,AAPL,32320027,2862621,8981450,9317448
2015-03-25,AAPL,AAPL,49918337,3663956,12760588,15369070
