etfg_date,as_of_date,composite_ticker,shares_outstanding,nav,fundflow
,2015-01-02,BIL,28800461,45.732779,0
,2015-01-02,BOND,22030000,107.4535,-10728300
,2015-01-02,SH,29587500,43.58,0
,2015-01-02,SOXL,1350001,134.8902,0
,2015-01-02,SZK,62460,26.8,0
,2015-01-02,TBF,41550000,24.94,-8820000
,2015-01-02,TQQQ,11700000,96.87,-38900000
,2015-01-02,UCC,350000,96.55,4889000
,2015-01-05,BIL,27800461,45.733468,-45732779
,2015-01-05,BOND,22030000,107.8523,0
,2015-01-05,SH,29837500,44.38,10895000
,2015-01-05,SOXL,1350001,127.1414,0
,2015-01-05,SZK,62460,27.45,0
,2015-01-05,TBF,41550000,24.53,0
,2015-01-05,TQQQ,11550000,92.14,-14530500
,2015-01-05,UCC,350000,93.41,0
,2015-01-06,BIL,25900461,45.733152,-86893589.2
,2015-01-06,BOND,22030000,108.1369,0
,2015-01-06,SH,29837500,44.78,0
,2015-01-06,SOXL,1250001,118.7719,-12714140
,2015-01-06,SZK,62460,27.73,0
,2015-01-06,TBF,40450000,24.15,-26983000
,2015-01-06,TQQQ,11500000,88.79,-4607000
,2015-01-06,UCC,350000,91.91,0
,2015-01-07,BIL,25900461,45.732693,0
,2015-01-07,BOND,22030000,108.4226,0
,2015-01-07,SH,29837500,44.24,0
,2015-01-07,SOXL,1250001,122.2455,0
,2015-01-07,SZK,62460,26.79,0
,2015-01-07,TBF,40250000,24.1,-4830000
,2015-01-07,TQQQ,11600000,91.98,8879000
,2015-01-07,UCC,350000,94.8,0
,2015-01-08,BIL,25900461,45.732901,0
,2015-01-08,BOND,22030000,108.5251,0
,2015-01-08,SH,29587500,43.44,-11060000
,2015-01-08,SOXL,1200001,132.9274,-6112275
,2015-01-08,SZK,62460,25.95,0
,2015-01-08,TBF,39450000,24.45,-19280000
,2015-01-08,TQQQ,11600000,97.32,0
,2015-01-08,UCC,350000,97.61,0
,2015-01-09,BIL,25900461,45.731976,0
,2015-01-09,BOND,22030000,108.4002,0
,2015-01-09,SH,29587500,43.82,0
,2015-01-09,SOXL,1200001,133.4107,0
,2015-01-09,SZK,62460,26.4,0
,2015-01-09,TBF,39050000,24.28,-9780000
,2015-01-09,TQQQ,11650000,95.44,4866000
,2015-01-09,UCC,350000,95.47,0
,2015-01-12,BIL,25400461,45.732193,-22865988
,2015-01-12,BOND,22030000,108.5956,0
,2015-01-12,SH,29587500,44.16,0
,2015-01-12,SOXL,1200001,125.4039,0
,2015-01-12,SZK,62460,26.66,0
,2015-01-12,TBF,38950000,24,-2428000
,2015-01-12,TQQQ,11900000,92.48,23860000
,2015-01-12,UCC,350000,94.62,0
,2015-01-13,BIL,25400461,45.731801,0
,2015-01-13,BOND,22030000,108.789,0
,2015-01-13,SH,29587500,44.28,0
,2015-01-13,SOXL,1200001,121.8944,0
,2015-01-13,SZK,62460,26.74,0
,2015-01-13,TBF,38950000,23.96,0
