as_of_date,rydex_ratio
2015-01-02,1.1621223950780093
2015-01-05,1.194691959937445
2015-01-06,1.16005006417984
2015-01-07,1.110153098754108
2015-01-08,1.0492431817248473
2015-01-09,1.0652979836249152
2015-01-12,1.0555257777661424
2015-01-13,1.0583778294128223
2015-01-14,1.0362591882452181
2015-01-15,1.0450044588609149
2015-01-16,1.0064275756751317
2015-01-20,1.0139031436056738
2015-01-21,0.9989843520395253
2015-01-22,1.0061951978481538
2015-01-23,1.0007282346905548
2015-01-26,1.002633543636581
2015-01-27,1.0693298472157418
2015-01-28,1.064432957532625
2015-01-29,0.9705464391106964
2015-01-30,0.9941258843735196
2015-02-02,0.9509371566784106
2015-02-03,0.9616118515518809
2015-02-04,1.1257103695441182
2015-02-05,1.1101036434723945
2015-02-06,1.1706391488928305
2015-02-09,1.18134483954561
2015-02-10,1.128787641430977
2015-02-11,1.1253914696084566
2015-02-12,1.1101804786942773
2015-02-13,1.1494882591067728
2015-02-17,1.1620625272464213
2015-02-18,1.1577383778766783
2015-02-19,1.1622459170319719
2015-02-20,1.164707279702728
2015-02-23,1.1491204321477482
2015-02-24,1.1477823206174382
2015-02-25,1.1560385180318373
2015-02-26,1.1717291462054784
2015-02-27,1.1888993268241603
2015-03-02,1.1836809863693727
2015-03-03,1.203136991793386
2015-03-04,1.2262679369904959
2015-03-05,1.22067671488034
2015-03-06,1.2366978725806768
2015-03-09,1.2496292028198641
2015-03-10,1.3384710624769183
2015-03-11,1.3608289089188284
2015-03-12,1.2994207284946804
2015-03-13,1.34991079952805
2015-03-16,1.2807954294374442
2015-03-17,1.3892920909642017
2015-03-18,1.346292752072133
2015-03-19,1.3423853607766902
2015-03-20,1.4260159608550027
2015-03-23,1.424107686544631
2015-03-24,1.3659785550988275
2015-03-25,1.4460020724089242
2015-03-26,1.425971915358848
2015-03-27,1.3033815426093884
2015-03-30,1.185748283041501
2015-03-31,1.2262195971649585
2015-04-01,1.2457206694245313
2015-04-02,1.24165530733493
2015-04-06,1.1454260665324598
2015-04-07,1.1412413014610225
2015-04-08,1.1164147275452032
2015-04-09,1.0954883784977367
2015-04-10,1.1007996116049512
2015-04-13,1.1105691379444207
2015-04-14,1.1390147912262882
2015-04-15,1.1185735169935471
2015-04-16,1.1229872754848695
2015-04-17,1.1767331000556123
2015-04-20,1.1458950131523709
2015-04-21,1.1317090668206682
2015-04-22,1.1282075454836205
2015-04-23,1.1632816910732646
2015-04-24,1.1678415207989845
2015-04-27,1.177059879833923
2015-04-28,1.2082742940198168
